ORDERDATE,SALESAMOUNT,PRODUCT_SALES_R,PRODUCT_SALES_M,COUNTRY_SALES_CANADA,COUNTRY_SALES_UNITED_STATES,COUNTRY_SALES_AUSTRALIA,COUNTRY_SALES_UNITED_KINGDOM,COUNTRY_SALES_GERMANY,COUNTRY_SALES_FRANCE,MIN_SALESAMOUNT_3,MIN_SALESAMOUNT_7,MIN_SALESAMOUNT_14,MIN_SALESAMOUNT_30,MAX_SALESAMOUNT_3,MAX_SALESAMOUNT_7,MAX_SALESAMOUNT_14,MAX_SALESAMOUNT_30,SUM_SALESAMOUNT_3,SUM_SALESAMOUNT_7,SUM_SALESAMOUNT_14,SUM_SALESAMOUNT_30,AVG_SALESAMOUNT_3,AVG_SALESAMOUNT_7,AVG_SALESAMOUNT_14,AVG_SALESAMOUNT_30,STDDEV_SALESAMOUNT_3,STDDEV_SALESAMOUNT_7,STDDEV_SALESAMOUNT_14,STDDEV_SALESAMOUNT_30,MIN_PRODUCT_SALES_R_3,MIN_PRODUCT_SALES_R_7,MIN_PRODUCT_SALES_R_14,MIN_PRODUCT_SALES_R_30,AVG_PRODUCT_SALES_R_3,AVG_PRODUCT_SALES_R_7,AVG_PRODUCT_SALES_R_14,AVG_PRODUCT_SALES_R_30,AVG_PRODUCT_SALES_M_3,AVG_PRODUCT_SALES_M_7,AVG_PRODUCT_SALES_M_14,AVG_PRODUCT_SALES_M_30,AVG_COUNTRY_SALES_AUSTRALIA_3,AVG_COUNTRY_SALES_AUSTRALIA_7,AVG_COUNTRY_SALES_AUSTRALIA_14,AVG_COUNTRY_SALES_AUSTRALIA_30,AVG_COUNTRY_SALES_UNITED_STATES_3,AVG_COUNTRY_SALES_UNITED_STATES_7,AVG_COUNTRY_SALES_UNITED_STATES_14,AVG_COUNTRY_SALES_UNITED_STATES_30,STDDEV_COUNTRY_SALES_UNITED_STATES_3,STDDEV_COUNTRY_SALES_UNITED_STATES_7,STDDEV_COUNTRY_SALES_UNITED_STATES_14,STDDEV_COUNTRY_SALES_UNITED_STATES_30,AVG_COUNTRY_SALES_UNITED_KINGDOM_3,AVG_COUNTRY_SALES_UNITED_KINGDOM_7,AVG_COUNTRY_SALES_UNITED_KINGDOM_14,AVG_COUNTRY_SALES_UNITED_KINGDOM_30,AVG_COUNTRY_SALES_GERMANY_3,AVG_COUNTRY_SALES_GERMANY_7,AVG_COUNTRY_SALES_GERMANY_14,AVG_COUNTRY_SALES_GERMANY_30,LAG_SUM_SALESAMOUNT_7_7,LAG_SUM_SALESAMOUNT_7_14,LAG_SUM_SALESAMOUNT_7_21,LAG_SUM_SALESAMOUNT_7_28,LAG_SUM_SALESAMOUNT_14_7,LAG_SUM_SALESAMOUNT_14_14,LAG_SUM_SALESAMOUNT_14_21,LAG_SUM_SALESAMOUNT_14_28,LAG_SUM_SALESAMOUNT_30_7,LAG_SUM_SALESAMOUNT_30_14,LAG_SUM_SALESAMOUNT_30_21,LAG_SUM_SALESAMOUNT_30_28,LAG_AVG_SALESAMOUNT_7_7,LAG_AVG_SALESAMOUNT_7_14,LAG_AVG_SALESAMOUNT_7_21,LAG_AVG_SALESAMOUNT_7_28,LAG_AVG_SALESAMOUNT_14_7,LAG_AVG_SALESAMOUNT_14_14,LAG_AVG_SALESAMOUNT_14_21,LAG_AVG_SALESAMOUNT_14_28,LAG_AVG_SALESAMOUNT_30_7,LAG_AVG_SALESAMOUNT_30_14,LAG_AVG_SALESAMOUNT_30_21,LAG_AVG_SALESAMOUNT_30_28,LAG_AVG_PRODUCT_SALES_R_7_7,LAG_AVG_PRODUCT_SALES_R_7_14,LAG_AVG_PRODUCT_SALES_R_7_21,LAG_AVG_PRODUCT_SALES_R_7_28,MOVING_AVERAGE_SUM_SALESAMOUNT,PRODUCT_SALES_R_AVG_7_RATE_OF_CHANGE_21,AVG_SALESAMOUNT_14_RATE_OF_CHANGE_28,AVG_SALESAMOUNT_7_RATE_OF_CHANGE_14,AVG_SALESAMOUNT_7_AVG_30_RATIO,COUNTRY_SALES_UNITED_STATES_AVG_3_RATIO,PRODUCT_SALES_M_AVG_3_RATIO
2011-01-08,14313.0800,14313.0800,,,,3578.2700,3578.2700,3578.2700,3578.2700,7855.6382,7156.5400,7156.5400,7156.5400,20909.7800,20909.7800,20909.7800,20909.7800,53635.0282,97972.4646,141393.5010,141393.5010,13408.7570500,12246.5580750,12853.9546363,12853.9546363,5658.488414211592,4759.4406653073975,4122.763915704509,4122.763915704509,7156.5400,7156.5400,4277.3682,4277.3682,10015.0170500,10549.6880750,10076.6900909,10076.6900909,6787.4800000,6787.4800000,7637.4775000,7637.4775000,5272.0150000,5420.3280333,5936.8609111,5936.8609111,4944.6327333,4263.7252000,4467.9974600,4467.9974600,5068.772115827896,3530.5912514733564,3041.1713311358103,3041.1713311358103,3489.1300000,3542.6140000,3068.6947000,3068.6947000,3578.2700000,3578.2700000,3578.2700000,3578.2700000,50577.5764,,,,50577.5764,,,,50577.5764,,,,12644.3941000,,,,12644.3941000,,,,12644.3941000,,,,8400.6566000,,,,,,,,0.952746327610,1.106677606146,0.888707037107
2011-01-09,14134.8000,10734.8100,3399.9900,,3578.2700,6978.2600,3578.2700,,,10556.5300,7855.6382,7156.5400,7156.5400,20909.7800,20909.7800,20909.7800,20909.7800,59914.1900,104950.7246,155528.3010,155528.3010,14978.5475000,13118.8405750,12960.6917500,12960.6917500,4316.191012790289,4311.713077041638,3948.252480583501,3948.252480583501,7156.5400,7156.5400,4277.3682,4277.3682,10734.8100000,10996.9718250,10131.5334166,10131.5334166,5658.3166666,5658.3166666,6789.9800000,6789.9800000,6122.0125000,5642.8897428,6041.0008200,6041.0008200,5904.3566666,4263.7252000,4387.1131454,4387.1131454,4028.900289475198,3530.5912514733564,2897.55340839897,2897.55340839897,3518.8433333,3548.5566666,3141.4911714,3141.4911714,3578.2700000,3578.2700000,3578.2700000,3578.2700000,65589.7546,,,,65589.7546,,,,65589.7546,,,,13117.9509200,,,,13117.9509200,,,,13117.9509200,,,,9722.9609200,,,,,,,,1.012202190134,1.345840982650,0.833333333324
2011-01-10,7156.5400,7156.5400,,,,7156.5400,,,,7156.5400,7156.5400,7156.5400,7156.5400,14313.0800,20909.7800,20909.7800,20909.7800,46160.9500,97095.0864,162684.8410,162684.8410,11540.2375000,12136.8858000,12514.2185384,12514.2185384,3396.316353211471,4696.298039860231,4108.654011349301,4108.654011349301,7156.5400,7156.5400,4277.3682,4277.3682,9840.2425000,10015.0170500,9902.6877692,9902.6877692,3399.9900000,5658.3166666,6789.9800000,6789.9800000,6172.8325000,5543.0185714,6142.4134727,6142.4134727,3578.2700000,4377.9677333,4387.1131454,4387.1131454,0.0,3853.3697081941064,2897.55340839897,2897.55340839897,3578.2700000,3542.6140000,3141.4911714,3141.4911714,3578.2700000,3578.2700000,3578.2700000,3578.2700000,79902.8346,,,,79902.8346,,,,79902.8346,,,,13317.1391000,,,,13317.1391000,,,,13317.1391000,,,,10487.9807666,,,,,,,,0.969847678683,0.815632029858,0.500736379194
2011-01-11,25047.8900,25047.8900,,,10734.8100,3578.2700,,3578.2700,7156.5400,7156.5400,7156.5400,7156.5400,7156.5400,25047.8900,25047.8900,25047.8900,25047.8900,60652.3100,107829.8964,187732.7310,187732.7310,15163.0775000,13478.7370500,13409.4807857,13409.4807857,7384.533640568758,6567.671874891184,5177.201878996619,5177.201878996619,7156.5400,7156.5400,4277.3682,4277.3682,14313.0800000,11356.8683000,10984.4879285,10984.4879285,3399.9900000,5658.3166666,6789.9800000,6789.9800000,5322.8350000,5297.4250000,5928.7348500,5928.7348500,7156.5400000,4974.3460666,4916.0878833,4916.0878833,5060.437963832775,4578.149573867452,3315.1668218368186,3315.1668218368186,3578.2700000,3533.7000000,3141.4911714,3141.4911714,3578.2700000,3578.2700000,3578.2700000,3578.2700000,87758.4728,,,,87758.4728,,,,87758.4728,,,,12536.9246857,,,,12536.9246857,,,,12536.9246857,,,,10111.9318285,,,,,,,,1.005164723781,1.455738825238,0.500736379194
2011-01-12,11230.6282,7855.6382,3374.9900,,7156.5400,3374.9900,699.0982,,,7156.5400,7156.5400,7156.5400,7156.5400,25047.8900,25047.8900,25047.8900,25047.8900,57569.8582,111204.8864,198963.3592,198963.3592,14392.4645500,13900.6108000,13264.2239466,13264.2239466,7658.552860219056,6255.867303473954,5020.496248931131,5020.496248931131,7156.5400,7156.5400,4277.3682,4277.3682,12698.7195500,11356.8683000,10775.8979466,10775.8979466,3387.4900000,5087.4850000,6220.8150000,6220.8150000,5272.0150000,5272.0150000,5732.2929384,5732.2929384,7156.5400000,6050.5863666,5088.4303538,5088.4303538,3578.27,4106.865825533822,3234.2843393980797,3234.2843393980797,2138.6841000,2813.9070500,2836.1920500,2836.1920500,3578.2700000,3578.2700000,3578.2700000,3578.2700000,95614.1110,14477.3382,,,95614.1110,14477.3382,,,95614.1110,14477.3382,,,11951.7638750,14477.3382000,,,11951.7638750,14477.3382000,,,11951.7638750,14477.3382000,,,9829.8951250,4277.3682000,,,,,,-41.194814285714,1.047977692171,1.406433713818,0.544541189539
2011-01-13,14313.0800,14313.0800,,,3578.2700,7156.5400,,3578.2700,,7156.5400,7156.5400,7156.5400,7156.5400,25047.8900,25047.8900,25047.8900,25047.8900,57748.1382,117662.3282,198799.1010,213276.4392,14437.0345500,14707.7910250,13253.2734000,13329.7774500,7657.072127237678,5761.538085961209,5017.839676802663,4857.34288837884,7156.5400,7156.5400,7156.5400,4277.3682,13593.2870500,12164.0485250,11444.9454000,10996.9718250,3374.9900000,5087.4850000,5424.9840000,6220.8150000,5316.5850000,5719.2987500,6021.2583230,5834.0248714,7156.5400000,6530.4483333,5048.3674153,4980.5617571,3578.27,3476.3213925436567,3250.744314081054,3133.501699046691,699.0982000,2813.9070500,2836.1920500,2836.1920500,3578.2700000,3578.2700000,3578.2700000,3578.2700000,102046.5528,28408.8582,,,116523.8910,28408.8582,,,116523.8910,28408.8582,,,12755.8191000,14204.4291000,,,12947.0990000,14204.4291000,,,12947.0990000,14204.4291000,,,10637.0753500,5716.9541000,,,,,,35.954423214286,1.103378588290,1.436894139461,0.542531806524
2011-01-14,14134.8000,10734.8100,3399.9900,,3578.2700,10556.5300,,,,11230.6282,7156.5400,7156.5400,7156.5400,25047.8900,25047.8900,25047.8900,25047.8900,64726.3982,110887.3482,199002.3810,227411.2392,16181.5995500,13860.9185250,13266.8254000,13377.1317176,6077.389169670762,5189.183186901244,5020.0763095713055,4707.153061312521,7855.6382,7156.5400,7156.5400,4277.3682,14487.8545500,12164.0485250,11683.4967333,10981.5505411,3387.4900000,3393.7400000,4749.9860000,5817.8400000,6166.5825000,6169.7075000,6036.8952461,6148.8585466,6261.9725000,5367.4050000,5048.3674153,4887.0756400,3425.9326968712717,2993.795473146087,3250.744314081054,3041.1482210524246,699.0982000,2618.5460666,2836.1920500,2836.1920500,3578.2700000,3578.2700000,3578.2700000,3578.2700000,98671.5628,43421.0364,,,127080.4210,43421.0364,,,127080.4210,43421.0364,,,12333.9453500,14473.6788000,,,12708.0421000,14473.6788000,,,12708.0421000,14473.6788000,,,10637.0753500,8815.3621333,,,,,,-43.768591071429,1.036165212215,1.281333247381,0.582259051469
2011-01-15,6953.2600,3578.2700,3374.9900,,,6953.2600,,,,6953.2600,6953.2600,6953.2600,6953.2600,14313.0800,25047.8900,25047.8900,25047.8900,46631.7682,107284.0782,190943.4628,234364.4992,11657.9420500,13410.5097750,12729.5641866,13020.2499555,3440.0200171899405,5652.650117647358,5246.096737086605,4811.079151712488,3578.2700,3578.2700,3578.2700,3578.2700,9120.4495500,11716.7647750,10921.2361866,10570.2571777,3383.3233333,3387.4900000,4520.8200000,5512.4837500,7010.3300000,6166.5825000,6021.2583230,6199.1336375,4771.0266666,5725.2320000,4872.6863666,4887.0756400,2065.9151477331625,3200.501984739269,3330.210279045946,3041.1482210524246,699.0982000,2618.5460666,3141.4911714,2836.1920500,3578.2700000,3578.2700000,3578.2700000,3578.2700000,97972.4646,50577.5764,,,141393.5010,50577.5764,,,141393.5010,50577.5764,,,12246.5580750,12644.3941000,,,12853.9546363,12644.3941000,,,12853.9546363,12644.3941000,,,10549.6880750,8400.6566000,,,,,,54.722548214286,1.029973297044,0.976253902753,0.613756608951
2011-01-16,25568.7082,22168.7182,3399.9900,3578.2700,7855.6382,14134.8000,,,,6953.2600,6953.2600,6953.2600,6953.2600,25568.7082,25568.7082,25568.7082,25568.7082,60969.8482,118539.7064,209355.6310,259933.2074,15242.4620500,14817.4633000,13957.0420666,13680.6951263,7690.533063188499,7119.773106600553,5955.10540190871,5490.731786551565,3578.2700,3578.2700,3578.2700,3578.2700,12698.7195500,12698.7195500,11922.0480666,11180.7024947,3391.6566666,3389.9900000,4360.7014285,5277.7622222,9700.2825000,7486.1487500,6600.7970142,6665.9375411,5004.0594000,6080.2997000,5229.1337166,5072.6108000,2469.539681693145,2991.823656727739,3407.0933610380343,3030.3107208869824,,2138.6841000,3141.4911714,2836.1920500,3578.2700000,3578.2700000,3578.2700000,3578.2700000,104950.7246,65589.7546,,,155528.3010,65589.7546,,,155528.3010,65589.7546,,,13118.8405750,13117.9509200,,,12960.6917500,13117.9509200,,,12960.6917500,13117.9509200,,,10996.9718250,9722.9609200,,,,,,121.393741428571,1.083092866496,0.986485972864,0.642631578273
2011-01-17,11255.6282,7855.6382,3399.9900,,,7677.3582,,3578.2700,,6953.2600,6953.2600,6953.2600,6953.2600,25568.7082,25568.7082,25568.7082,25568.7082,57912.3964,115660.5346,205599.0810,271188.8356,14478.0991000,14457.5668250,13706.6054000,13559.4417800,7960.883256341582,7231.109576416462,5986.469694407183,5371.725891674876,3578.2700,3578.2700,3578.2700,3578.2700,11084.3591000,12338.8230750,11444.9454000,11014.4492800,3393.7400000,3389.9900000,4240.6125000,5089.9850000,9830.4870500,7573.5360250,6588.0627285,6722.1275777,5716.9541000,6580.7056400,5379.2122363,5072.6108000,3024.5560598516963,3051.3464577609093,3531.5439496811973,3030.3107208869824,,699.0982000,3068.6947000,2836.1920500,3578.2700000,3578.2700000,3578.2700000,3578.2700000,97095.0864,79902.8346,,,162684.8410,79902.8346,,,162684.8410,79902.8346,,,12136.8858000,13317.1391000,,,12514.2185384,13317.1391000,,,12514.2185384,13317.1391000,,,10015.0170500,10487.9807666,,,,,,81.459123214286,1.066236137119,1.127023997189,0.666748526764
